player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Vicente Guaita,es ESP,GK,Crystal Palace,33-331,1987,10.0,10.0,900.0,15.0,1.5,43.0,30.0,0.721,4.0,1.0,5.0,1.0,10.0,3.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,15.1,0.29,0.1,0.01,48.0,185.0,25.9,180.0,37.0,63.9,47.8,84.0,83.3,59.8,96.0,6.0,6.3,6.0,0.6,14.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,30-214,1990,10.0,10.0,900.0,9.0,0.9,27.0,17.0,0.667,6.0,3.0,1.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.5,0.24,-2.5,-0.25,46.0,92.0,50.0,295.0,48.0,26.1,31.1,58.0,25.9,31.9,64.0,5.0,7.8,13.0,1.3,17.5
Samir Handanović,si SVN,GK,Inter,36-145,1984,10.0,10.0,900.0,14.0,1.4,37.0,24.0,0.649,6.0,3.0,1.0,2.0,20.0,2.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,13.3,0.31,-0.7,-0.07,30.0,67.0,44.8,228.0,37.0,24.6,29.5,44.0,25.0,30.6,64.0,2.0,3.1,5.0,0.5,11.6
Dean Henderson,eng ENG,GK,Manchester Utd,23-269,1997,2.0,1.0,135.0,1.0,0.67,8.0,7.0,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,1.8,0.22,0.8,0.51,8.0,15.0,53.3,27.0,12.0,48.1,36.3,10.0,20.0,29.5,18.0,0.0,0.0,0.0,0.0,11.3
Sergio Herrera,es ESP,GK,Osasuna,27-184,1993,10.0,10.0,900.0,13.0,1.3,45.0,33.0,0.756,3.0,2.0,5.0,4.0,40.0,5.0,2.0,2.0,1.0,10.0,0.0,1.0,0.0,15.6,0.32,2.6,0.26,137.0,279.0,49.1,283.0,26.0,74.2,53.6,72.0,95.8,65.1,107.0,13.0,12.1,16.0,1.6,15.8
Marwin Hitz,ch SUI,GK,Dortmund,33-079,1987,2.0,2.0,180.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.13,0.7,0.33,14.0,25.0,56.0,61.0,11.0,31.1,31.5,10.0,60.0,49.4,9.0,3.0,33.3,1.0,0.5,16.0
Timo Horn,de GER,GK,Köln,27-208,1993,10.0,10.0,849.0,16.0,1.7,41.0,29.0,0.707,1.0,4.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0,9.4,1.0,2.0,0.0,14.7,0.25,-1.3,-0.14,92.0,192.0,47.9,308.0,35.0,51.0,40.6,62.0,56.5,46.1,74.0,3.0,4.1,8.0,0.85,13.7
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-012,1989,9.0,9.0,810.0,9.0,1.0,21.0,14.0,0.619,5.0,4.0,0.0,3.0,33.3,1.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,7.6,0.32,-0.4,-0.05,64.0,171.0,37.4,409.0,43.0,36.7,35.3,49.0,42.9,35.2,55.0,5.0,9.1,14.0,1.56,18.9
Ángel Jiménez,es ESP,GK,Granada,18-167,2002,1.0,1.0,90.0,2.0,2.0,7.0,6.0,0.857,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.7,0.22,0.7,0.69,10.0,24.0,41.7,13.0,0.0,76.9,50.1,17.0,82.4,55.0,10.0,0.0,0.0,1.0,1.0,14.3
Sam Johnstone,eng ENG,GK,West Brom,27-256,1993,10.0,10.0,900.0,18.0,1.8,57.0,43.0,0.737,1.0,3.0,6.0,2.0,20.0,4.0,3.0,1.0,0.0,10.0,0.0,3.0,1.0,22.2,0.35,5.2,0.52,89.0,223.0,39.9,268.0,53.0,63.4,47.0,71.0,74.6,52.5,91.0,5.0,5.5,6.0,0.6,14.7
Bingourou Kamara,sn SEN,GK,Strasbourg,24-046,1996,8.0,8.0,720.0,14.0,1.75,31.0,19.0,0.581,2.0,0.0,6.0,2.0,25.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,9.7,0.28,-3.3,-0.41,63.0,142.0,44.4,191.0,43.0,48.7,39.3,56.0,87.5,60.0,58.0,3.0,5.2,1.0,0.13,12.9
Eiji Kawashima,jp JPN,GK,Strasbourg,37-261,1983,4.0,4.0,360.0,10.0,2.5,24.0,16.0,0.667,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,9.5,0.34,-0.5,-0.13,37.0,68.0,54.4,85.0,12.0,52.9,41.2,36.0,63.9,50.8,43.0,1.0,2.3,2.0,0.5,12.0
Gregor Kobel,ch SUI,GK,Stuttgart,23-000,1997,9.0,9.0,810.0,15.0,1.67,43.0,30.0,0.698,2.0,5.0,2.0,1.0,11.1,2.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,11.5,0.23,-3.5,-0.39,46.0,97.0,47.4,258.0,59.0,31.4,30.3,70.0,22.9,24.6,86.0,2.0,2.3,7.0,0.78,14.3
Alban Lafont,fr FRA,GK,Nantes,21-318,1999,12.0,12.0,1080.0,18.0,1.5,53.0,40.0,0.736,3.0,4.0,5.0,2.0,16.7,4.0,4.0,0.0,0.0,12.0,1.0,1.0,1.0,19.6,0.31,2.6,0.22,56.0,194.0,28.9,284.0,55.0,45.8,40.8,92.0,69.6,51.3,98.0,6.0,6.1,6.0,0.5,14.1
Gautier Larsonneur,fr FRA,GK,Brest,23-287,1997,12.0,12.0,1080.0,23.0,1.92,53.0,32.0,0.604,6.0,0.0,6.0,3.0,25.0,2.0,2.0,0.0,0.0,12.0,0.0,2.0,1.0,17.3,0.3,-4.7,-0.39,83.0,176.0,47.2,354.0,58.0,39.8,38.2,86.0,40.7,37.9,121.0,12.0,9.9,3.0,0.25,12.5
Jean-Louis Leca,fr FRA,GK,Lens,35-076,1985,12.0,12.0,1080.0,18.0,1.5,41.0,26.0,0.61,6.0,3.0,3.0,4.0,33.3,3.0,2.0,1.0,0.0,12.0,0.0,1.0,1.0,13.2,0.28,-3.8,-0.31,97.0,239.0,40.6,294.0,40.0,69.0,48.7,63.0,57.1,45.1,70.0,7.0,10.0,5.0,0.42,14.4
Benjamin Lecomte,fr FRA,GK,Monaco,29-224,1991,8.0,8.0,720.0,12.0,1.5,25.0,15.0,0.6,3.0,2.0,3.0,2.0,25.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,9.1,0.3,-2.9,-0.36,47.0,106.0,44.3,244.0,39.0,34.8,33.9,46.0,45.7,43.6,58.0,2.0,3.4,16.0,2.0,17.4
Jeremías Ledesma,ar ARG,GK,Cádiz,27-297,1993,9.0,9.0,810.0,8.0,0.89,39.0,31.0,0.795,4.0,3.0,2.0,4.0,44.4,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,6.0,0.2,-1.0,-0.13,77.0,219.0,35.2,181.0,16.0,83.4,58.5,72.0,94.4,68.0,89.0,16.0,18.0,6.0,0.75,14.7
Bernd Leno,de GER,GK,Arsenal,28-277,1992,10.0,10.0,900.0,12.0,1.2,40.0,29.0,0.7,4.0,1.0,5.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,11.9,0.31,0.9,0.09,33.0,85.0,38.8,299.0,29.0,18.7,26.8,58.0,50.0,39.5,85.0,4.0,4.7,9.0,0.9,16.4
Hugo Lloris,fr FRA,GK,Tottenham,33-346,1986,10.0,10.0,900.0,9.0,0.9,30.0,25.0,0.8,6.0,3.0,1.0,4.0,40.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,1.0,7.4,0.17,-0.6,-0.06,47.0,123.0,38.2,211.0,40.0,42.7,35.9,80.0,41.3,35.0,92.0,3.0,3.3,6.0,0.6,14.4
Anthony Lopes,pt POR,GK,Lyon,30-066,1990,12.0,12.0,1080.0,10.0,0.83,42.0,35.0,0.81,6.0,5.0,1.0,4.0,33.3,3.0,2.0,0.0,1.0,12.0,0.0,0.0,1.0,11.5,0.24,2.5,0.21,62.0,119.0,52.1,269.0,57.0,30.9,32.8,76.0,47.4,39.2,97.0,6.0,6.2,17.0,1.42,20.7
Pau López,es ESP,GK,Roma,25-359,1994,1.0,1.0,90.0,1.0,1.0,5.0,4.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.3,0.5,0.48,6.0,16.0,37.5,39.0,5.0,38.5,34.1,3.0,33.3,31.3,4.0,1.0,25.0,0.0,0.0,16.3
Andreas Luthe,de GER,GK,Union Berlin,33-271,1987,10.0,10.0,900.0,14.0,1.4,37.0,22.0,0.622,4.0,4.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,11.1,0.3,-2.9,-0.29,57.0,169.0,33.7,288.0,32.0,43.8,38.4,60.0,71.7,50.1,77.0,4.0,5.2,1.0,0.1,12.1
Mike Maignan,fr FRA,GK,Lille,25-008,1995,12.0,12.0,1080.0,8.0,0.67,36.0,30.0,0.806,6.0,5.0,1.0,6.0,50.0,1.0,1.0,0.0,0.0,12.0,0.0,2.0,1.0,11.7,0.3,4.7,0.39,58.0,168.0,34.5,296.0,65.0,38.9,37.9,79.0,67.1,56.4,94.0,10.0,10.6,12.0,1.0,17.9
Radosław Majecki,pl POL,GK,Monaco,21-020,1999,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.16,-0.7,-0.68,4.0,15.0,26.7,25.0,2.0,36.0,32.5,12.0,50.0,39.9,7.0,0.0,0.0,1.0,1.0,16.0
Steve Mandanda,fr FRA,GK,Marseille,35-253,1985,11.0,11.0,990.0,9.0,0.82,35.0,27.0,0.771,7.0,3.0,1.0,4.0,36.4,1.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,11.3,0.3,2.3,0.21,66.0,190.0,34.7,313.0,68.0,39.0,36.1,94.0,72.3,52.4,139.0,12.0,8.6,8.0,0.73,13.7
Vito Mannone,it ITA,GK,Monaco,32-279,1988,3.0,3.0,270.0,3.0,1.0,9.0,7.0,0.778,3.0,0.0,0.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.7,0.33,0.7,0.25,12.0,41.0,29.3,84.0,13.0,38.1,35.7,16.0,56.3,46.0,22.0,0.0,0.0,2.0,0.67,17.6
Federico Marchetti,it ITA,GK,Genoa,37-303,1983,1.0,1.0,90.0,6.0,6.0,10.0,4.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6,0.36,-2.4,-2.41,4.0,12.0,33.3,20.0,5.0,40.0,38.3,7.0,57.1,40.3,9.0,0.0,0.0,1.0,1.0,19.0
Emiliano Martínez,ar ARG,GK,Aston Villa,28-095,1992,9.0,9.0,810.0,13.0,1.44,35.0,21.0,0.629,5.0,0.0,4.0,4.0,44.4,1.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,13.4,0.36,0.4,0.04,71.0,186.0,38.2,254.0,33.0,54.7,44.4,62.0,75.8,57.5,94.0,7.0,7.4,1.0,0.11,13.2
Jordi Masip,es ESP,GK,Valladolid,31-338,1989,6.0,6.0,540.0,8.0,1.33,20.0,14.0,0.7,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,7.4,0.27,-0.6,-0.09,53.0,144.0,36.8,132.0,17.0,68.2,50.6,60.0,90.0,65.0,74.0,4.0,5.4,3.0,0.5,12.9
Alex McCarthy,eng ENG,GK,Southampton,31-003,1989,10.0,10.0,900.0,16.0,1.6,47.0,31.0,0.681,5.0,2.0,3.0,4.0,40.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,15.0,0.3,-1.0,-0.1,49.0,180.0,27.2,319.0,39.0,44.8,36.7,51.0,72.5,52.7,90.0,9.0,10.0,8.0,0.8,16.4
Edouard Mendy,sn SEN,GK,Chelsea,28-280,1992,7.0,7.0,630.0,2.0,0.29,12.0,10.0,0.833,5.0,2.0,0.0,5.0,71.4,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.5,0.21,0.5,0.07,32.0,72.0,44.4,182.0,20.0,29.7,29.4,36.0,50.0,38.6,52.0,4.0,7.7,6.0,0.86,17.6
Edouard Mendy,sn SEN,GK,Rennes,28-280,1992,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.56,-0.4,-0.44,7.0,12.0,58.3,23.0,2.0,43.5,37.9,6.0,33.3,35.2,6.0,1.0,16.7,0.0,0.0,10.0
Alex Meret,it ITA,GK,Napoli,23-259,1997,4.0,4.0,360.0,4.0,1.0,11.0,7.0,0.636,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.5,0.32,-0.5,-0.11,4.0,9.0,44.4,111.0,19.0,7.2,23.4,19.0,5.3,19.6,20.0,2.0,10.0,1.0,0.25,11.3
Illan Meslier,fr FRA,GK,Leeds United,20-279,2000,11.0,11.0,990.0,20.0,1.82,53.0,37.0,0.698,4.0,2.0,5.0,4.0,36.4,4.0,4.0,0.0,0.0,11.0,1.0,3.0,1.0,21.1,0.33,2.1,0.19,62.0,111.0,55.9,317.0,79.0,26.5,29.0,80.0,33.8,30.8,56.0,2.0,3.6,7.0,0.64,13.8
Antonio Mirante,it ITA,GK,Roma,37-151,1983,8.0,8.0,720.0,11.0,1.37,29.0,19.0,0.69,4.0,2.0,2.0,3.0,37.5,3.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,9.4,0.23,-1.6,-0.2,49.0,89.0,55.1,206.0,40.0,35.4,33.6,48.0,33.3,32.5,62.0,2.0,3.2,8.0,1.0,15.9
Lorenzo Montipò,it ITA,GK,Benevento,24-290,1996,9.0,9.0,810.0,21.0,2.33,48.0,28.0,0.583,3.0,1.0,5.0,2.0,22.2,1.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,19.1,0.38,-1.9,-0.21,87.0,197.0,44.2,279.0,51.0,53.8,40.1,70.0,67.1,46.5,71.0,4.0,5.6,2.0,0.22,12.0
Jessy Moulin,fr FRA,GK,Saint-Étienne,34-328,1986,12.0,12.0,1080.0,20.0,1.67,46.0,27.0,0.587,3.0,2.0,7.0,3.0,25.0,1.0,1.0,0.0,0.0,12.0,1.0,4.0,1.0,16.6,0.34,-2.4,-0.2,70.0,169.0,41.4,329.0,69.0,34.0,35.9,90.0,63.3,48.4,99.0,4.0,4.0,4.0,0.33,13.4
Florian Müller,de GER,GK,Freiburg,23-023,1997,10.0,10.0,900.0,22.0,2.2,51.0,31.0,0.608,1.0,5.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,2.0,2.0,0.0,17.6,0.31,-4.4,-0.44,61.0,176.0,34.7,301.0,29.0,36.2,37.3,91.0,73.6,57.4,73.0,4.0,5.5,4.0,0.4,15.3
Juan Musso,ar ARG,GK,Udinese,26-214,1994,7.0,7.0,630.0,8.0,1.14,18.0,12.0,0.611,2.0,1.0,4.0,2.0,28.6,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,6.4,0.31,-0.6,-0.08,32.0,90.0,35.6,177.0,34.0,40.1,36.7,46.0,41.3,36.6,43.0,6.0,14.0,5.0,0.71,14.2
Paul Nardi,fr FRA,GK,Lorient,26-202,1994,12.0,12.0,1080.0,22.0,1.83,58.0,38.0,0.655,2.0,2.0,8.0,1.0,8.3,3.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,16.7,0.26,-5.3,-0.44,74.0,206.0,35.9,240.0,65.0,52.5,41.0,111.0,72.1,55.5,98.0,4.0,4.1,7.0,0.58,14.0
Keylor Navas,cr CRC,GK,Paris S-G,33-357,1986,9.0,9.0,810.0,5.0,0.56,22.0,18.0,0.818,8.0,0.0,1.0,6.0,66.7,2.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,8.2,0.29,3.2,0.35,38.0,65.0,58.5,167.0,33.0,27.5,30.6,68.0,27.9,30.6,76.0,4.0,5.3,3.0,0.33,10.9
Neto,br BRA,GK,Barcelona,31-140,1989,6.0,6.0,540.0,6.0,1.0,19.0,14.0,0.789,2.0,2.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,6.6,0.26,0.6,0.1,17.0,35.0,48.6,150.0,30.0,18.7,27.3,41.0,17.1,24.4,52.0,2.0,3.8,4.0,0.67,15.7
Manuel Neuer,de GER,GK,Bayern Munich,34-254,1986,10.0,10.0,900.0,16.0,1.6,40.0,24.0,0.625,7.0,2.0,1.0,2.0,20.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,19.0,0.46,3.0,0.3,69.0,110.0,62.7,344.0,60.0,27.3,31.3,54.0,29.6,33.0,72.0,1.0,1.4,11.0,1.1,16.1
Jan Oblak,si SVN,GK,Atlético Madrid,27-334,1993,10.0,10.0,900.0,2.0,0.2,34.0,32.0,0.941,8.0,2.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.3,0.19,4.3,0.43,70.0,170.0,41.2,204.0,29.0,57.4,43.4,88.0,60.2,46.9,94.0,7.0,7.4,2.0,0.2,13.1
Robin Olsen,se SWE,GK,Everton,30-333,1990,1.0,1.0,90.0,2.0,2.0,3.0,2.0,0.667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,0.53,0.4,0.43,6.0,7.0,85.7,17.0,3.0,41.2,35.0,3.0,0.0,19.3,3.0,0.0,0.0,0.0,0.0,0.0
Jonas Omlin,ch SUI,GK,Montpellier,26-331,1994,11.0,11.0,945.0,18.0,1.71,45.0,31.0,0.711,5.0,2.0,4.0,1.0,9.1,5.0,5.0,0.0,0.0,10.5,0.0,1.0,1.0,18.8,0.32,1.8,0.17,80.0,185.0,43.2,254.0,49.0,50.4,41.1,79.0,72.2,53.4,93.0,10.0,10.8,4.0,0.38,13.2
Stefan Ortega,de GER,GK,Arminia,28-030,1992,10.0,10.0,900.0,20.0,2.0,56.0,37.0,0.661,2.0,1.0,7.0,1.0,10.0,2.0,1.0,1.0,0.0,10.0,0.0,4.0,0.0,16.7,0.3,-2.3,-0.25,114.0,240.0,47.5,448.0,35.0,46.9,40.6,57.0,52.6,44.1,96.0,4.0,4.2,7.0,0.78,14.6
