team_name,league_name,league_country
Arsenal,Premier League,England
Bournemouth,Premier League,England
Brighton,Premier League,England
Burnley,Premier League,England
Chelsea,Premier League,England
Crystal Palace,Premier League,England
Everton,Premier League,England
Huddersfield,Premier League,England
Leicester City,Premier League,England
Liverpool,Premier League,England
Manchester City,Premier League,England
Manchester Utd,Premier League,England
Newcastle Utd,Premier League,England
Southampton,Premier League,England
Stoke City,Premier League,England
Swansea City,Premier League,England
Tottenham,Premier League,England
Watford,Premier League,England
West Brom,Premier League,England
West Ham,Premier League,England
Amiens,Ligue 1,France
Angers,Ligue 1,France
Bordeaux,Ligue 1,France
Caen,Ligue 1,France
Dijon,Ligue 1,France
Guingamp,Ligue 1,France
Lille,Ligue 1,France
Lyon,Ligue 1,France
Marseille,Ligue 1,France
Metz,Ligue 1,France
Monaco,Ligue 1,France
Montpellier,Ligue 1,France
Nantes,Ligue 1,France
Nice,Ligue 1,France
Paris S-G,Ligue 1,France
Rennes,Ligue 1,France
Saint-Étienne,Ligue 1,France
Strasbourg,Ligue 1,France
Toulouse,Ligue 1,France
Troyes,Ligue 1,France
Augsburg,Bundesliga,Germany
Bayern Munich,Bundesliga,Germany
Dortmund,Bundesliga,Germany
Eint Frankfurt,Bundesliga,Germany
Freiburg,Bundesliga,Germany
Hamburger SV,Bundesliga,Germany
Hannover 96,Bundesliga,Germany
Hertha BSC,Bundesliga,Germany
Hoffenheim,Bundesliga,Germany
Köln,Bundesliga,Germany
Leverkusen,Bundesliga,Germany
M'Gladbach,Bundesliga,Germany
Mainz 05,Bundesliga,Germany
RB Leipzig,Bundesliga,Germany
Schalke 04,Bundesliga,Germany
Stuttgart,Bundesliga,Germany
Werder Bremen,Bundesliga,Germany
Wolfsburg,Bundesliga,Germany
Atalanta,Serie A,Italy
Benevento,Serie A,Italy
Bologna,Serie A,Italy
Cagliari,Serie A,Italy
Chievo,Serie A,Italy
Crotone,Serie A,Italy
Fiorentina,Serie A,Italy
Genoa,Serie A,Italy
Hellas Verona,Serie A,Italy
Inter,Serie A,Italy
Juventus,Serie A,Italy
Lazio,Serie A,Italy
Milan,Serie A,Italy
Napoli,Serie A,Italy
Roma,Serie A,Italy
Sampdoria,Serie A,Italy
Sassuolo,Serie A,Italy
SPAL,Serie A,Italy
Torino,Serie A,Italy
Udinese,Serie A,Italy
Alavés,La Liga,Spain
Athletic Club,La Liga,Spain
Atlético Madrid,La Liga,Spain
Barcelona,La Liga,Spain
Betis,La Liga,Spain
Celta Vigo,La Liga,Spain
Eibar,La Liga,Spain
Espanyol,La Liga,Spain
Getafe,La Liga,Spain
Girona,La Liga,Spain
La Coruña,La Liga,Spain
Las Palmas,La Liga,Spain
Leganés,La Liga,Spain
Levante,La Liga,Spain
Málaga,La Liga,Spain
Real Madrid,La Liga,Spain
Real Sociedad,La Liga,Spain
Sevilla,La Liga,Spain
Valencia,La Liga,Spain
Villarreal,La Liga,Spain
Cardiff City,Premier League,England
Fulham,Premier League,England
Wolves,Premier League,England
Nîmes,Ligue 1,France
Reims,Ligue 1,France
Düsseldorf,Bundesliga,Germany
Nürnberg,Bundesliga,Germany
Empoli,Serie A,Italy
Frosinone,Serie A,Italy
Parma,Serie A,Italy
Huesca,La Liga,Spain
Rayo Vallecano,La Liga,Spain
Valladolid,La Liga,Spain
Aston Villa,Premier League,England
Leeds United,Premier League,England
Sheffield Utd,Premier League,England
Brest,Ligue 1,France
Arminia,Bundesliga,Germany
Union Berlin,Bundesliga,Germany
Spezia,Serie A,Italy
Cádiz,La Liga,Spain
Elche,La Liga,Spain
Granada,La Liga,Spain
Osasuna,La Liga,Spain
Lens,Ligue 1,France
Lorient,Ligue 1,France